instrument_id,side,qty,entry_ts,entry_price,exit_ts,exit_price,realized_pnl,fees,multiplier,is_open
USO,LONG,185,2020-05-04T20:00:00+00:00,18.375825,2021-06-02T20:00:00+00:00,46.553325,5212.837500000001,16.108601176497277,1.0,false
SPY,LONG,18,2020-08-04T20:00:00+00:00,328.890175,2021-08-03T20:00:00+00:00,437.9424,1962.9400500000004,16.53530472692308,1.0,false
QQQ,LONG,22,2020-05-04T20:00:00+00:00,211.978625,2021-08-03T20:00:00+00:00,364.336875,3351.8815000000004,19.462257,1.0,false
IWM,LONG,24,2020-08-04T20:00:00+00:00,149.7735,2021-08-03T20:00:00+00:00,220.74675000000002,1703.3580000000002,10.777440292682929,1.0,false
USO,LONG,124,2020-05-04T20:00:00+00:00,18.375825,2021-08-03T20:00:00+00:00,49.466025,3855.1848000000005,13.69799965327869,1.0,false
SPY,LONG,2,2020-08-04T20:00:00+00:00,328.890175,2021-09-02T20:00:00+00:00,451.34880000000004,244.91725000000008,2.6881014071428573,1.0,false
QQQ,LONG,3,2020-05-04T20:00:00+00:00,211.978625,2021-09-02T20:00:00+00:00,380.18715,504.6255749999999,4.262428472727273,1.0,false
IWM,LONG,4,2020-08-04T20:00:00+00:00,149.7735,2021-09-02T20:00:00+00:00,227.459925,310.74569999999994,2.2009905620689656,1.0,false
USO,LONG,69,2020-05-04T20:00:00+00:00,18.375825,2021-10-04T20:00:00+00:00,53.196675,2402.63865,10.036427140599173,1.0,false
QQQ,LONG,2,2020-05-04T20:00:00+00:00,211.978625,2021-11-02T20:00:00+00:00,386.222025,348.48679999999996,3.182306313157895,1.0,false
USO,LONG,11,2020-05-04T20:00:00+00:00,18.375825,2021-11-02T20:00:00+00:00,57.585674999999995,431.30834999999996,2.0530545702312137,1.0,false
IWM,LONG,54,2020-08-04T20:00:00+00:00,149.7735,2021-12-02T21:00:00+00:00,215.23057500000002,3534.6820500000003,30.344138550000004,1.0,false
IWM,LONG,7,2020-12-02T21:00:00+00:00,182.58532499999998,2021-12-02T21:00:00+00:00,215.23057500000002,228.51675000000023,2.7847112999999997,1.0,false
IWM,LONG,29,2021-04-05T20:00:00+00:00,227.27677500000001,2021-12-02T21:00:00+00:00,215.23057500000002,-349.33979999999997,12.83271315,1.0,false
IWM,LONG,5,2021-05-04T20:00:00+00:00,225.90335000000002,2021-12-02T21:00:00+00:00,215.23057500000002,-53.36387500000001,2.205669625,1.0,false
